,books manly words,books womanly words,tv manly words,tv womanly words
0,wary,pleasant,strong,warm
1,suspicious,complaining,quick,pretty
2,shrewd,queer,loyal,loyal
3,tough,modest,warm,quiet
4,awkward,cool,pretty,strong
5,hurried,awkward,weak,weak
6,cheerful,calm,quiet,quick
7,fearful,coarse,silent,silent
8,complaining,hurried,bitch,bitch
9,lazy,bitter,,
10,fucked,tough,,
11,noisy,loud,,
12,shy,quiet,,
13,healthy,honest,,
14,dull,nervous,,
15,honest,greedy,,
16,greedy,polished,,
17,modest,noisy,,
18,confused,shrewd,,
19,coarse,dull,,
20,cruel,fucked,,
21,restless,healthy,,
22,pleasant,restless,,
23,ugly,strong,,
24,warm,cruel,,
25,quick,confused,,
26,foolish,fearful,,
27,curious,stubborn,,
28,quiet,shallow,,
29,stubborn,ugly,,
30,gentle,daring,,
31,pretty,suspicious,,
32,clever,lazy,,
33,sly,cheerful,,
34,polished,clever,,
35,nervous,handsome,,
36,bitter,quick,,
37,anxious,wary,,
38,fighter,stern,,
39,stern,generous,,
40,friendly,fighter,,
41,strong,stable,,
42,silent,foolish,,
43,queer,anxious,,
44,loud,warm,,
45,stable,friendly,,
46,generous,steady,,
47,gloomy,gloomy,,
48,handsome,loyal,,
49,daring,sly,,
50,cool,curious,,
51,weak,silent,,
52,calm,weak,,
53,shallow,shy,,
54,steady,gentle,,
55,bitch,pretty,,
56,loyal,bitch,,
57,killer,killer,,
